[INFO ] [2021-06-30 23:07:26,570] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:25:41,982] Register - Step 4: Input to email with value: test78454@mailnesia.com
[INFO ] [2021-07-28 23:25:42,102] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:25:42,225] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:25:42,341] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:25:44,137] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:25:44,171] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:32:20,357] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:32:21,459] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:32:21,613] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:32:21,728] Register - Step 4: Input to email with value: test53614@mailnesia.com
[INFO ] [2021-07-28 23:32:21,847] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:32:21,967] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:32:22,092] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:32:23,028] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:32:23,064] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:33:49,429] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:33:51,035] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:33:51,151] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:33:51,330] Register - Step 4: Input to email with value: test41566@mailnesia.com
[INFO ] [2021-07-28 23:33:51,447] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:33:51,550] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:33:51,660] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:33:52,529] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:33:52,578] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:35:18,143] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:35:20,545] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:35:20,794] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:35:20,908] Register - Step 4: Input to email with value: test11873@mailnesia.com
[INFO ] [2021-07-28 23:35:21,035] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:35:21,144] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:35:21,255] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:35:23,860] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:35:23,900] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:36:45,901] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:36:47,038] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:36:47,160] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:36:47,281] Register - Step 4: Input to email with value: test22023@mailnesia.com
[INFO ] [2021-07-28 23:36:47,403] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:36:47,527] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:36:47,647] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:36:48,598] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:36:48,643] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:40:27,300] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:40:28,486] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:40:28,593] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:40:28,705] Register - Step 4: Input to email with value: test1279@mailnesia.com
[INFO ] [2021-07-28 23:40:28,836] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:40:28,956] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:40:29,073] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:40:30,059] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:40:30,114] Register - Step 7: Click on logout link
